
--- short (13 tok), 128 decode tokens
  conc  prefill s  decode s  ms/token  decode tok/s total
     1       0.39      5.48      42.8                23.3
     2       0.62      5.99      46.8                42.8
     4       1.36      6.10      47.7                83.9
     8       0.77      7.96      62.2               128.6
    16       1.10      9.66      75.4               212.1

--- long (3256 tok), 128 decode tokens
  conc  prefill s  decode s  ms/token  decode tok/s total
     1       2.36      5.58      43.6                22.9
     2       6.03      6.17      48.2                41.5
     4      12.64      6.68      52.2                76.7
     8      24.44      7.93      61.9               129.2
    16      48.81     15.13     118.2               135.4
